parent,subcategory_slug,name,url
construction,construction-equipment,Construction Equipment,https://www.finelib.com/business/construction/construction-equipment
construction,construction-quality-control,Construction Quality Control,https://www.finelib.com/business/construction/construction-quality-control
construction,contractors,Contractors,https://www.finelib.com/business/construction/contractors
construction,doors-and-window-services,Doors and Window Services,https://www.finelib.com/business/construction/doors-and-window-services
construction,road-construction,Road Construction,https://www.finelib.com/business/construction/road-construction
electrical-services,air-conditioning,Air Conditioning,https://www.finelib.com/business/electrical-services/air-conditioning
electrical-services,electrical-cables,Electrical Cables,https://www.finelib.com/business/electrical-services/electrical-cables
electrical-services,electrical-engineers,Electrical Engineers,https://www.finelib.com/business/electrical-services/electrical-engineers
electrical-services,electrical-generators,Electrical Generators,https://www.finelib.com/business/electrical-services/electrical-generators
electrical-services,electrical-repairs,Electrical Repairs,https://www.finelib.com/business/electrical-services/electrical-repairs
electrical-services,electrical-spare-parts,Electrical Spare Parts,https://www.finelib.com/business/electrical-services/electrical-spare-parts
electrical-services,electrical-supplies,Electrical Supplies,https://www.finelib.com/business/electrical-services/electrical-supplies
electrical-services,electronics-dealers,Electronics Dealers,https://www.finelib.com/business/electrical-services/electronics-dealers
electrical-services,used-electrical-equipment,Used Electrical Equipment,https://www.finelib.com/business/electrical-services/used-electrical-equipment
energy,alternative-energy,Alternative Energy,https://www.finelib.com/business/energy/alternative-energy
energy,electric-power-utilities,Electric Power Utilities,https://www.finelib.com/business/energy/electric-power-utilities
energy,energy-associations,Energy Associations,https://www.finelib.com/business/energy/energy-associations
energy,energy-trading,Energy Trading,https://www.finelib.com/business/energy/energy-trading
energy,oil-and-gas,Oil and Gas,https://www.finelib.com/business/energy/oil-and-gas
energy,recycling,Recycling,https://www.finelib.com/business/energy/recycling
energy,waste-management,Waste Management,https://www.finelib.com/business/energy/waste-management
engineering-companies,civil-and-structural-engineering,Civil and Structural Engineering,https://www.finelib.com/business/engineering-companies/civil-and-structural-engineering
engineering-companies,engineering-associations,Engineering Associations,https://www.finelib.com/business/engineering-companies/engineering-associations
engineering-companies,engineering-automation,Engineering Automation,https://www.finelib.com/business/engineering-companies/engineering-automation
engineering-companies,engineering-consultancy,Engineering Consultancy,https://www.finelib.com/business/engineering-companies/engineering-consultancy
engineering-companies,engineering-institutes,Engineering Institutes,https://www.finelib.com/business/engineering-companies/engineering-institutes
engineering-companies,environmental-engineering,Environmental Engineering,https://www.finelib.com/business/engineering-companies/environmental-engineering
entertainment,bars,Bars,https://www.finelib.com/business/entertainment/bars
entertainment,comedians,Comedians,https://www.finelib.com/business/entertainment/comedians
entertainment,films-and-movies,Films and Movies,https://www.finelib.com/business/entertainment/films-and-movies
entertainment,music,Music,https://www.finelib.com/business/entertainment/music
entertainment,night-clubs,Night Clubs,https://www.finelib.com/business/entertainment/night-clubs
environmental-services,pollution-control,Pollution Control,https://www.finelib.com/business/environmental-services/pollution-control
exporters,agro-allied-products,Agro Allied Products,https://www.finelib.com/business/exporters/agro-allied-products
exporters,beverages,Beverages,https://www.finelib.com/business/exporters/beverages
exporters,cosmetics,Cosmetics,https://www.finelib.com/business/exporters/cosmetics
exporters,crude-oil,Crude Oil,https://www.finelib.com/business/exporters/crude-oil
exporters,frozen-foods,Frozen Foods,https://www.finelib.com/business/exporters/frozen-foods
exporters,plastics,Plastics,https://www.finelib.com/business/exporters/plastics
exporters,solid-minerals,Solid Minerals,https://www.finelib.com/business/exporters/solid-minerals
exporters,textiles,Textiles,https://www.finelib.com/business/exporters/textiles
finance,accounting,Accounting,https://www.finelib.com/business/finance/accounting
finance,asset-management,Asset Management,https://www.finelib.com/business/finance/asset-management
finance,auditors,Auditors,https://www.finelib.com/business/finance/auditors
finance,banks,Banks,https://www.finelib.com/business/finance/banks
finance,bureau-de-change,Bureau De Change,https://www.finelib.com/business/finance/bureau-de-change
finance,financial-associations,Financial Associations,https://www.finelib.com/business/finance/financial-associations
finance,financial-consultants,Financial Consultants,https://www.finelib.com/business/finance/financial-consultants
finance,financial-products,Financial Products,https://www.finelib.com/business/finance/financial-products
finance,insurance-companies,Insurance Companies,https://www.finelib.com/business/finance/insurance-companies
finance,investment-services,Investment Services,https://www.finelib.com/business/finance/investment-services
finance,loans,Loans,https://www.finelib.com/business/finance/loans
finance,micro-finance,Micro Finance,https://www.finelib.com/business/finance/micro-finance
finance,mortgage-services,Mortgage Services,https://www.finelib.com/business/finance/mortgage-services
finance,online-payment,Online Payment,https://www.finelib.com/business/finance/online-payment
finance,payroll-services,Payroll Services,https://www.finelib.com/business/finance/payroll-services
finance,pension-management,Pension Management,https://www.finelib.com/business/finance/pension-management
finance,stock-exchange,Stock Exchange,https://www.finelib.com/business/finance/stock-exchange
fire-services,fire-equipment-suppliers,Fire Equipment Suppliers,https://www.finelib.com/business/fire-services/fire-equipment-suppliers
fire-services,fire-extinguishers,Fire Extinguishers,https://www.finelib.com/business/fire-services/fire-extinguishers
fire-services,fire-protection-services,Fire Protection Services,https://www.finelib.com/business/fire-services/fire-protection-services
fire-services,fire-risk-assessment-companies,Fire Risk Assessment Companies,https://www.finelib.com/business/fire-services/fire-risk-assessment-companies
fire-services,fire-safety-consultants,Fire Safety Consultants,https://www.finelib.com/business/fire-services/fire-safety-consultants
fire-services,fire-safety-training-companies,Fire Safety Training Companies,https://www.finelib.com/business/fire-services/fire-safety-training-companies
food,bakery,Bakery,https://www.finelib.com/business/food/bakery
